title,hours
Wallpaper Engine：壁纸引擎,2161.7
Grand Theft Auto V 传承版,613.6
Bongo Cat,521.2
World of Warships,362.8
Warframe,231.6
Counter-Strike 2,192.8
EVE Online,176.8
纪元1800,174.9
Unturned,162.5
RAGE 2,161.0
DEATH STRANDING,160.4
Cities: Skylines,109.2
Dying Light,107.0
Just Cause 2,106.1
Assassin's Creed Rogue,104.7
Dishonored,103.0
Borderlands 2,102.5
Tom Clancy's The Division,102.1
Bad North,100.0
DARK SOULS™ III,99.6
狙击手：幽灵战士契约,99.0
Sid Meier's Civilization VI,96.5
SnowRunner,95.0
Prey,94.0
Fallout 76,93.0
武装突袭3,92.3
刺客信条4：黑旗,92.0
刺客信条：枭雄,91.1
ibb & obb,91.0
Titanfall® 2,91.0
刺客信条：大革命,90.7
缺氧,90.5
F1 2015,90.5
Halo: The Master Chief Collection,89.0
Shift Happens,87.0
Mirror,84.0
一字不落,83.0
随从大师,82.7
《彩虹六号：围攻X》,82.6
光明记忆,80.0
土豆兄弟(Brotato),71.4
奇怪的RPG,71.0
Dude Simulator 2,70.0
Day of Infamy,69.4
光明记忆：无限,69.0
Resident Evil 2,68.0
Kerbal Space Program,67.0
Paper Dolls 2,67.0
异形工厂（Shapez）,63.9
Warface: Clutch,63.9
动物栏：桌面牧场,61.2
DARK SOULS™ II: Scholar of the First Sin,58.0
100% Orange Juice,57.0
Euro Truck Simulator 2,56.1
Ravenfield,56.0
Mirror 2: Project X,55.0
Slay the Spire,54.0
Blood Code,53.4
Stardew Valley,53.3
10秒忍者X,53.0
Fallout 4,52.2
命运2,51.0
DCS World Steam Edition,51.0
GOAT OF DUTY,51.0
Cyrano Story,50.0
Ultimate Epic Battle Simulator,50.0
潜水员戴夫 DAVE THE DIVER,48.0
Assassin's Creed Odyssey,46.3
PUBG: BATTLEGROUNDS,45.2
Banana,43.0
Hollow Knight,43.0
消逝的光芒2: 重装上阵版,42.4
This War of Mine,42.0
Earn to Die 2,41.0
Red Wings,41.0
The Forest,40.6
Mountain,39.9
Hearts of Iron IV,39.0
饥荒联机版,38.0
The Lab,38.0
DOOM,37.0
Bloons TD 6,36.5
H1Z1: Test Server,33.4
BattleBlock Theater,33.0
Plants vs. Zombies: Game of the Year,32.1
Ghostrunner Demo,32.0
NieR:Automata™,32.0
《命令与征服：红色警戒 2 及尤里的复仇》,30.0
Tom Clancy's Rainbow Six Siege - Test Server,28.2
Tom Clancy's The Division PTS,28.2
冰汽时代,27.7
PAYDAY 2,27.1
Portal 2,27.0
Castle Crashers,27.0
无限法则,26.6
Sniper Ghost Warrior 2,25.9
Grand Theft Auto IV: The Complete Edition,25.7
ARK: Survival Evolved,25.0
HITMAN™ 2,23.6
东方：平野孤鸿,23.0
Goose Goose Duck,23.0
Shadow Tactics: Blades of the Shogun,23.0
Tricolour Lovestory,23.0
底特律：化身为人,22.0
Mount & Blade: Warband,21.5
The Darkness II,21.5
浴血黑帮：傀儡师,21.0
Kalimba,21.0
巫师 3：狂猎,19.9
赛博朋克 2077,19.8
Saints Row IV,19.0
DEAD OR ALIVE Xtreme Venus Vacation,18.9
Sea of Thieves,18.3
中国式家长,18.3
GRID 2,18.1
黑神话：悟空,18.0
Amnesia: The Dark Descent,17.4
Planets Under Attack,16.6
Amnesia: A Machine for Pigs,15.7
Sekiro™: Shadows Die Twice,15.7
Spec Ops: The Line,15.7
装机模拟器 (PC Building Simulator),15.2
State of Decay 2,15.1
Guns'n'Stories: Preface VR,15.0
Genital Jousting,14.2
使命召唤®,14.0
Hand Simulator,13.8
It Takes Two Friend's Pass,13.0
Green Hell,12.9
Liftoff,12.8
边境,12.6
生化奇兵：无限 完全版,12.0
World War III: Black Gold,12.0
植物大战僵尸™: 和睦小镇保卫战,11.8
Apex Legends,11.0
WRC 7,10.5
灾厄逆刃,10.0
《四海兄弟: 最终版》​,9.8
Kabounce,9.7
The SKIES,9.7
Stacklands,9.4
《战地风云™ 2042》,9.0
Ping Pong League,9.0
箭箭剑,8.5
Aimlabs,8.2
Berry People,8.0
Hentai Girl Fantasy,8.0
World War II: Panzer Claws,8.0
王国：两位君主,7.8
PICO PARK,7.5
Monster Hunter: World,7.4
Batman: Arkham City GOTY,7.3
AppGameKit Classic,7.0
戴森球计划,7.0
Grand Theft Auto: San Andreas,7.0
ToaZZle,7.0
Trivia Vault: Science & History Trivia 2,7.0
Trivia Vault: TV Trivia,7.0
Age of Wonders III,6.9
Battle vs Chess,6.9
Earth 2140 HD,6.9
Earth 2150 Trilogy,6.9
Earth 2160,6.9
Paper Dolls Original,6.9
Far Cry 5,6.8
人类一败涂地 / Human Fall Flat,6.8
Trivia Vault Olympics Trivia,6.8
Club Naughty,6.8
Earth 2150: Lost Souls,6.8
Earth 2150: The Moon Project,6.8
Guacamelee! Super Turbo Championship Edition,6.8
中华一商：传承,6.6
Ball laB,6.0
Dark Elf,6.0
Zombie Army Trilogy,5.8
Vendetta - Curse of Raven's Cry,5.4
Kao the Kangaroo: Round 2,5.1
龙崖,5.0
Hentai Girl Hime,5.0
背包乱斗：福西法的宝藏 Backpack Battles,4.6
Rise of the Tomb Raider,4.3
挺进地牢,4.0
The Crew 2,3.9
Fling to the Finish 终极拉扯,3.7
Monster Train,3.6
Material Girl,3.5
Unrailed!,3.4
