app_id,title,hours,achievements_unlocked,achievements_total
431960,Wallpaper Engine：壁纸引擎,2161.7,6,17
271590,Grand Theft Auto V 传承版,613.6,77,77
3419430,Bongo Cat,521.2,0,0
552990,World of Warships,362.8,16,43
230410,Warframe,231.6,75,193
730,Counter-Strike 2,192.8,1,1
8500,EVE Online,176.8,0,0
916440,纪元1800,174.9,0,112
304930,Unturned,162.5,30,83
548570,RAGE 2,161.0,43,64
1190460,DEATH STRANDING,160.4,46,63
255710,Cities: Skylines,109.2,21,127
239140,Dying Light,107.0,63,78
8190,Just Cause 2,106.1,31,50
311560,Assassin's Creed Rogue,104.7,0,46
205100,Dishonored,103.0,2,80
49520,Borderlands 2,102.5,1,75
365590,Tom Clancy's The Division,102.1,0,60
688420,Bad North,100.0,1,11
374320,DARK SOULS™ III,99.6,31,43
973580,狙击手：幽灵战士契约,99.0,1,40
289070,Sid Meier's Civilization VI,96.5,3,320
1465360,SnowRunner,95.0,1,37
480490,Prey,94.0,1,58
1151340,Fallout 76,93.0,5,72
107410,武装突袭3,92.3,4,123
242050,刺客信条4：黑旗,92.0,0,60
368500,刺客信条：枭雄,91.1,0,56
95400,ibb & obb,91.0,1,10
1237970,Titanfall® 2,91.0,5,50
289650,刺客信条：大革命,90.7,0,57
457140,缺氧,90.5,10,50
286570,F1 2015,90.5,0,45
976730,Halo: The Master Chief Collection,89.0,4,700
359840,Shift Happens,87.0,0,31
644560,Mirror,84.0,0,0
1139800,一字不落,83.0,66,171
489520,随从大师,82.7,35,38
359550,《彩虹六号：围攻X》,82.6,0,0
955050,光明记忆,80.0,5,12
1942280,土豆兄弟(Brotato),71.4,39,176
1902710,奇怪的RPG,71.0,2,14
825310,Dude Simulator 2,70.0,0,0
447820,Day of Infamy,69.4,1,97
1178830,光明记忆：无限,69.0,3,30
883710,Resident Evil 2,68.0,1,44
220200,Kerbal Space Program,67.0,0,0
1334040,Paper Dolls 2,67.0,3,39
1318690,异形工厂（Shapez）,63.9,28,45
291480,Warface: Clutch,63.9,0,67
3167550,动物栏：桌面牧场,61.2,34,55
335300,DARK SOULS™ II: Scholar of the First Sin,58.0,2,38
282800,100% Orange Juice,57.0,0,346
227300,Euro Truck Simulator 2,56.1,2,101
636480,Ravenfield,56.0,0,0
1832640,Mirror 2: Project X,55.0,1,1
646570,Slay the Spire,54.0,2,46
386480,Blood Code,53.4,0,29
413150,Stardew Valley,53.3,10,49
435790,10秒忍者X,53.0,0,12
377160,Fallout 4,52.2,20,84
1085660,命运2,51.0,2,23
223750,DCS World Steam Edition,51.0,0,0
555000,GOAT OF DUTY,51.0,2,31
1250870,Cyrano Story,50.0,7,13
616560,Ultimate Epic Battle Simulator,50.0,0,0
1868140,潜水员戴夫 DAVE THE DIVER,48.0,0,43
812140,Assassin's Creed Odyssey,46.3,0,0
578080,PUBG: BATTLEGROUNDS,45.2,37,37
2923300,Banana,43.0,1,76
367520,Hollow Knight,43.0,0,63
534380,消逝的光芒2: 重装上阵版,42.4,20,65
282070,This War of Mine,42.0,1,59
431590,Earn to Die 2,41.0,3,21
1140630,Red Wings,41.0,1,29
242760,The Forest,40.6,17,45
313340,Mountain,39.9,29,31
394360,Hearts of Iron IV,39.0,0,249
322330,饥荒联机版,38.0,0,0
450390,The Lab,38.0,0,0
379720,DOOM,37.0,0,54
960090,Bloons TD 6,36.5,45,153
439700,H1Z1: Test Server,33.4,0,0
