应用ID,游戏名称,游玩时长 (小时),已解锁成就,总成就数,成就进度,商店链接,成就链接,图片链接
431960,Wallpaper Engine：壁纸引擎,2161.7,6,17,0.35,https://store.steampowered.com/app/431960,https://steamcommunity.com/id/aeorz/stats/431960/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/431960/header_schinese.jpg?t=1739211362
271590,Grand Theft Auto V 传承版,613.6,77,77,1.0,https://store.steampowered.com/app/271590,https://steamcommunity.com/id/aeorz/stats/271590/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/271590/header.jpg?t=1753979045
3419430,Bongo Cat,521.2,0,0,0.0,https://store.steampowered.com/app/3419430,N/A,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3419430/e8c9b865822618f3d3cd07757ddc60740c8e54b0/header.jpg?t=1756457767
552990,World of Warships,362.8,16,43,0.37,https://store.steampowered.com/app/552990,https://steamcommunity.com/id/aeorz/stats/552990/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/552990/1432d3156ba31b459e6148986a3007a36319abe1/header.jpg?t=1754555782
230410,Warframe,231.6,75,193,0.38,https://store.steampowered.com/app/230410,https://steamcommunity.com/id/aeorz/stats/230410/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/230410/9ca5eafdcbb2061f1abf2f8b25b31a301e12dced/header.jpg?t=1756226516
730,Counter-Strike 2,192.8,1,1,1.0,https://store.steampowered.com/app/730,https://steamcommunity.com/id/aeorz/stats/730/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/730/header_schinese.jpg?t=1749053861
8500,EVE Online,176.8,0,0,0.0,https://store.steampowered.com/app/8500,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
916440,纪元1800,174.9,0,112,0.0,https://store.steampowered.com/app/916440,https://steamcommunity.com/id/aeorz/stats/916440/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/916440/header.jpg?t=1739894341
304930,Unturned,162.5,30,83,0.36,https://store.steampowered.com/app/304930,https://steamcommunity.com/id/aeorz/stats/304930/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/304930/header.jpg?t=1749749227
548570,RAGE 2,161.0,43,64,0.67,https://store.steampowered.com/app/548570,https://steamcommunity.com/id/aeorz/stats/548570/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/548570/header.jpg?t=1706806221
1190460,DEATH STRANDING,160.4,46,63,0.73,https://store.steampowered.com/app/1190460,https://steamcommunity.com/id/aeorz/stats/1190460/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
255710,Cities: Skylines,109.2,21,127,0.16,https://store.steampowered.com/app/255710,https://steamcommunity.com/id/aeorz/stats/255710/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/255710/header_schinese.jpg?t=1746722581
239140,Dying Light,107.0,63,78,0.8,https://store.steampowered.com/app/239140,https://steamcommunity.com/id/aeorz/stats/239140/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/239140/header_schinese.jpg?t=1755892508
8190,Just Cause 2,106.1,31,50,0.62,https://store.steampowered.com/app/8190,https://steamcommunity.com/id/aeorz/stats/8190/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/8190/header.jpg?t=1728396849
311560,Assassin's Creed Rogue,104.7,0,46,0.0,https://store.steampowered.com/app/311560,https://steamcommunity.com/id/aeorz/stats/311560/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/311560/header.jpg?t=1751968973
205100,Dishonored,103.0,2,80,0.02,https://store.steampowered.com/app/205100,https://steamcommunity.com/id/aeorz/stats/205100/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
49520,Borderlands 2,102.5,1,75,0.01,https://store.steampowered.com/app/49520,https://steamcommunity.com/id/aeorz/stats/49520/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/49520/header.jpg?t=1751931279
365590,Tom Clancy's The Division,102.1,0,60,0.0,https://store.steampowered.com/app/365590,https://steamcommunity.com/id/aeorz/stats/365590/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/365590/header.jpg?t=1741199903
688420,Bad North,100.0,1,11,0.09,https://store.steampowered.com/app/688420,https://steamcommunity.com/id/aeorz/stats/688420/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
374320,DARK SOULS™ III,99.6,31,43,0.72,https://store.steampowered.com/app/374320,https://steamcommunity.com/id/aeorz/stats/374320/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/374320/header.jpg?t=1748630784
973580,狙击手：幽灵战士契约,99.0,1,40,0.02,https://store.steampowered.com/app/973580,https://steamcommunity.com/id/aeorz/stats/973580/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
289070,Sid Meier's Civilization VI,96.5,3,320,0.0,https://store.steampowered.com/app/289070,https://steamcommunity.com/id/aeorz/stats/289070/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/289070/header.jpg?t=1740607040
1465360,SnowRunner,95.0,1,37,0.02,https://store.steampowered.com/app/1465360,https://steamcommunity.com/id/aeorz/stats/1465360/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
480490,Prey,94.0,1,58,0.01,https://store.steampowered.com/app/480490,https://steamcommunity.com/id/aeorz/stats/480490/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1151340,Fallout 76,93.0,5,72,0.06,https://store.steampowered.com/app/1151340,https://steamcommunity.com/id/aeorz/stats/1151340/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
107410,武装突袭3,92.3,4,123,0.03,https://store.steampowered.com/app/107410,https://steamcommunity.com/id/aeorz/stats/107410/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/107410/header_schinese.jpg?t=1750409920
242050,刺客信条4：黑旗,92.0,0,60,0.0,https://store.steampowered.com/app/242050,https://steamcommunity.com/id/aeorz/stats/242050/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/242050/header.jpg?t=1752168657
368500,刺客信条：枭雄,91.1,0,56,0.0,https://store.steampowered.com/app/368500,https://steamcommunity.com/id/aeorz/stats/368500/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/368500/header.jpg?t=1754582370
95400,ibb & obb,91.0,1,10,0.1,https://store.steampowered.com/app/95400,https://steamcommunity.com/id/aeorz/stats/95400/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1237970,Titanfall® 2,91.0,5,50,0.1,https://store.steampowered.com/app/1237970,https://steamcommunity.com/id/aeorz/stats/1237970/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
289650,刺客信条：大革命,90.7,0,57,0.0,https://store.steampowered.com/app/289650,https://steamcommunity.com/id/aeorz/stats/289650/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/289650/header.jpg?t=1754525874
457140,缺氧,90.5,10,50,0.2,https://store.steampowered.com/app/457140,https://steamcommunity.com/id/aeorz/stats/457140/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/457140/header_schinese.jpg?t=1750118450
286570,F1 2015,90.5,0,45,0.0,https://store.steampowered.com/app/286570,https://steamcommunity.com/id/aeorz/stats/286570/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/286570/header.jpg?t=1647013399
976730,Halo: The Master Chief Collection,89.0,4,700,0.0,https://store.steampowered.com/app/976730,https://steamcommunity.com/id/aeorz/stats/976730/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
359840,Shift Happens,87.0,0,31,0.0,https://store.steampowered.com/app/359840,https://steamcommunity.com/id/aeorz/stats/359840/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
644560,Mirror,84.0,0,0,0.0,https://store.steampowered.com/app/644560,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1139800,一字不落,83.0,66,171,0.38,https://store.steampowered.com/app/1139800,https://steamcommunity.com/id/aeorz/stats/1139800/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
489520,随从大师,82.7,35,38,0.92,https://store.steampowered.com/app/489520,https://steamcommunity.com/id/aeorz/stats/489520/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/489520/header_schinese.jpg?t=1736542616
359550,《彩虹六号：围攻X》,82.6,0,0,0.0,https://store.steampowered.com/app/359550,N/A,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/359550/e52fa60ef3eb9521d8213fa30ff9965547e268c8/header_schinese.jpg?t=1754466542
955050,光明记忆,80.0,5,12,0.41,https://store.steampowered.com/app/955050,https://steamcommunity.com/id/aeorz/stats/955050/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1942280,土豆兄弟(Brotato),71.4,39,176,0.22,https://store.steampowered.com/app/1942280,https://steamcommunity.com/id/aeorz/stats/1942280/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1942280/header_schinese.jpg?t=1754906841
1902710,奇怪的RPG,71.0,2,14,0.14,https://store.steampowered.com/app/1902710,https://steamcommunity.com/id/aeorz/stats/1902710/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
825310,Dude Simulator 2,70.0,0,0,0.0,https://store.steampowered.com/app/825310,N/A,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
447820,Day of Infamy,69.4,1,97,0.01,https://store.steampowered.com/app/447820,https://steamcommunity.com/id/aeorz/stats/447820/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/447820/header.jpg?t=1738783161
1178830,光明记忆：无限,69.0,3,30,0.1,https://store.steampowered.com/app/1178830,https://steamcommunity.com/id/aeorz/stats/1178830/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
883710,Resident Evil 2,68.0,1,44,0.02,https://store.steampowered.com/app/883710,https://steamcommunity.com/id/aeorz/stats/883710/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
220200,Kerbal Space Program,67.0,0,0,0.0,https://store.steampowered.com/app/220200,N/A,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/220200/header.jpg?t=1738037585
1334040,Paper Dolls 2,67.0,3,39,0.07,https://store.steampowered.com/app/1334040,https://steamcommunity.com/id/aeorz/stats/1334040/?tab=achievements,https://community.fastly.steamstatic.com/public/images/applications/community/defaultappheader.png?v=2d20c9375f6a00a46696c416e9712298
1318690,异形工厂（Shapez）,63.9,28,45,0.62,https://store.steampowered.com/app/1318690,https://steamcommunity.com/id/aeorz/stats/1318690/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1318690/header_schinese.jpg?t=1756389491
291480,Warface: Clutch,63.9,0,67,0.0,https://store.steampowered.com/app/291480,https://steamcommunity.com/id/aeorz/stats/291480/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/291480/37bc5851fa0dfa764ffc1c1feac7dd9aefe128e0/header.jpg?t=1755543507
3167550,动物栏：桌面牧场,61.2,34,55,0.61,https://store.steampowered.com/app/3167550,https://steamcommunity.com/id/aeorz/stats/3167550/?tab=achievements,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3167550/header_schinese.jpg?t=1756746333
